Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11,id
-79,-100,-45,-100,-91,-84,2
-81,-100,-54,-100,-100,-100,2
-77,-64,-56,-63,-91,-90,0
-81,-52,-55,-60,-100,-83,1
-100,-54,-58,-62,-100,-89,1
-72,-71,-60,-100,-100,-89,1
-70,-60,-57,-100,-91,-100,2
-76,-100,-56,-62,-92,-87,1
-73,-100,-53,-61,-100,-100,0
-77,-65,-55,-62,-92,-100,1
-100,-56,-63,-100,-100,-85,2
-75,-56,-55,-100,-100,-100,2
-74,-64,-54,-60,-90,-100,0
-75,-64,-52,-62,-100,-100,0
-78,-62,-55,-62,-93,-86,0
-71,-64,-56,-60,-100,-89,0
-74,-100,-56,-100,-100,-88,2
-72,-100,-56,-59,-100,-100,0
-74,-66,-52,-63,-100,-100,0
-70,-57,-57,-100,-93,-89,2
-72,-100,-54,-60,-100,-89,0
-71,-100,-53,-59,-100,-89,0
-83,-55,-58,-61,-100,-100,1
-69,-100,-53,-60,-100,-86,0
-78,-54,-59,-61,-100,-100,1
-72,-100,-55,-57,-100,-88,0
-74,-58,-58,-100,-100,-90,2
-81,-100,-55,-63,-89,-85,1
-73,-63,-56,-60,-100,-86,1
-76,-63,-53,-64,-100,-100,0
-73,-58,-58,-100,-92,-100,2
-68,-100,-51,-57,-89,-87,0
-70,-100,-51,-61,-91,-87,0
-71,-100,-55,-59,-90,-100,0
-81,-59,-58,-100,-89,-100,2
-70,-100,-55,-59,-100,-100,0
-71,-65,-54,-60,-93,-100,0
-74,-54,-59,-100,-94,-88,2
-73,-59,-67,-100,-100,-100,2
-81,-100,-58,-60,-91,-100,1
-73,-100,-53,-57,-100,-85,0
-74,-56,-56,-60,-93,-100,1
-73,-55,-54,-100,-100,-86,2
-75,-62,-55,-61,-87,-83,1
-100,-61,-53,-100,-100,-100,0
-100,-56,-54,-100,-87,-85,2
-78,-56,-61,-59,-86,-100,1
-77,-61,-55,-61,-90,-100,1
-79,-100,-49,-100,-88,-100,2
-80,-100,-59,-61,-87,-100,1
-75,-61,-57,-61,-91,-86,0
-69,-100,-51,-57,-89,-85,0
-72,-100,-54,-100,-90,-100,0
-75,-63,-56,-62,-93,-100,0
-82,-55,-50,-100,-100,-100,2
-75,-100,-57,-63,-100,-100,1
-77,-100,-58,-62,-100,-100,1
-72,-100,-55,-62,-100,-100,0
-71,-56,-52,-100,-89,-89,2
-74,-100,-53,-100,-88,-85,2
-79,-100,-53,-100,-89,-100,2
-79,-55,-55,-100,-94,-100,2
-72,-56,-57,-100,-100,-100,2
-77,-100,-47,-100,-100,-87,2
-81,-100,-48,-100,-92,-87,2
-81,-100,-57,-62,-86,-100,1
-69,-100,-51,-60,-93,-88,0
-100,-61,-52,-100,-100,-88,0
-73,-57,-53,-100,-100,-89,2
-79,-62,-56,-63,-91,-100,1
-70,-100,-54,-58,-90,-84,0
-70,-100,-53,-58,-100,-84,0
-84,-100,-53,-100,-92,-100,2
-73,-64,-52,-61,-100,-90,0
-71,-100,-54,-59,-100,-85,0
-72,-58,-59,-100,-100,-87,2
-78,-53,-59,-62,-100,-100,1
-80,-62,-53,-100,-91,-87,2
-80,-100,-53,-100,-92,-100,2
-100,-64,-53,-100,-100,-86,0
-86,-63,-57,-60,-89,-100,0
-80,-59,-55,-100,-100,-100,2
-77,-100,-60,-62,-90,-100,1
-100,-71,,-100,-100,-88,2
-72,-64,,-100,-91,-100,2
-77,-62,-54,-61,-100,-100,1
-66,-61,,-100,-100,-88,2
-100,-64,-54,-100,-91,-100,0
-100,-64,,-100,-100,-100,2
-78,-54,-55,-64,-100,-86,1
-100,-100,-52,-100,-91,-100,2
-79,-59,-56,-100,-100,-100,2
-71,-65,-57,-59,-100,-87,0
-73,-100,-53,-100,-100,-100,2
-72,-100,-54,-60,-100,-100,0
-100,-61,-58,-100,-100,-92,0
-72,-100,-57,-62,-92,-88,0
-84,-100,-58,-62,-89,-100,1
-75,-57,-58,-100,-100,-100,2
-72,-100,-54,-62,-100,-88,0
-79,-57,-60,-64,-95,-89,1
-83,-100,-58,-64,-100,-100,1
-83,-68,,-100,-100,-100,2
-80,-100,-57,-61,-93,-100,1
-71,-100,-54,-61,-100,-100,1
-74,-100,-54,-100,-100,-89,2
-74,-63,-56,-60,-100,-100,1
-78,-100,-54,-100,-89,-86,2
-76,-61,-57,-61,-100,-87,1
-77,-100,-52,-100,-100,-100,2
-76,-100,-58,-100,-90,-100,2
-73,-64,-53,-58,-92,-100,0
-100,-59,-55,-100,-100,-88,0
-77,-55,-59,-100,-91,-88,2
-73,-100,-56,-58,-100,-100,0
-77,-54,-50,-100,-100,-89,2
-74,-56,-50,-100,-90,-85,2
-68,-62,-54,-100,-91,-100,1
-69,-100,-53,-58,-94,-90,0
-69,-61,-55,-63,-91,-85,1
-100,-62,,-100,-90,-86,2
-79,-100,-51,-100,-100,-100,2
-73,-58,-54,-100,-100,-100,2
-76,-63,-54,-61,-100,-84,0
-73,-100,-53,-58,-89,-83,0
-81,-55,-59,-60,-100,-100,1
-70,-100,-48,-100,-100,-87,2
-78,-100,-58,-65,-89,-100,1
-75,-53,-54,-100,-88,-100,2
-78,-100,-57,-60,-100,-100,1
-71,-100,-54,-58,-89,-91,0
-82,-62,-54,-100,-89,-100,2
-70,-100,-53,-61,-92,-88,0
-73,-100,-54,-100,-91,-88,2
-71,-64,-53,-59,-91,-100,0
-77,-100,-52,-100,-89,-88,2
-100,-62,-55,-100,-91,-100,0
-71,-100,-54,-60,-89,-100,0
-71,-100,-52,-59,-100,-89,0
-78,-53,-60,-62,-100,-87,1
-75,-63,-58,-61,-100,-87,0
-69,-61,-53,-100,-100,-100,2
-100,-63,-64,-100,-91,-86,0
-70,-63,-57,-61,-100,-100,0
-75,-58,-59,-100,-100,-90,2
-70,-65,-57,-61,-100,-90,1
-76,-100,-55,-100,-100,-100,2
-72,-100,-51,-59,-94,-100,0
-75,-100,-57,-59,-88,-100,1
-78,-100,-53,-100,-90,-100,2
-77,-57,-54,-100,-93,-88,2
-75,-64,,-100,-93,-100,2
-100,-100,-52,-100,-100,-100,2
-72,-100,-54,-62,-100,-100,0
-75,-51,-60,-63,-100,-100,1
-82,-63,-56,-62,-100,-100,0
-81,-100,-53,-100,-94,-89,2
-70,-100,-52,-59,-92,-100,0
-75,-65,-55,-64,-100,-100,0
-71,-63,-53,-61,-94,-88,0
